moneda,valor,status
Argentine Peso,1377.047024,1.0
Australian Dollar,1.440990,1.0
Bahraini Dinar,0.376000,1.0
Botswana Pula,13.643467,1.0
Brazilian Real,5.237563,1.0
British Pound,0.748528,1.0
Bruneian Dollar,1.281573,1.0
Canadian Dollar,1.382009,1.0
Chilean Peso,916.988314,1.0
Chinese Yuan Renminbi,6.901561,1.0
Colombian Peso,3699.902001,1.0
Czech Koruna,21.160886,1.0
Danish Krone,6.463110,1.0
Emirati Dirham,3.672500,1.0
Euro,0.864912,1.0
Hong Kong Dollar,7.815385,1.0
Hungarian Forint,335.057441,1.0
Icelandic Krona,123.858656,1.0
Indian Rupee,94.196048,1.0
Indonesian Rupiah,16861.497976,1.0
Iranian Rial,1311857.524496,1.0
Israeli Shekel,3.117437,1.0
Japanese Yen,159.481313,1.0
Kazakhstani Tenge,482.057121,1.0
Kuwaiti Dinar,0.306561,1.0
Libyan Dinar,6.380022,1.0
Malaysian Ringgit,3.972645,1.0
Mauritian Rupee,46.445649,1.0
Mexican Peso,17.774553,1.0
Nepalese Rupee,150.784324,1.0
New Zealand Dollar,1.723992,1.0
Norwegian Krone,9.690265,1.0
Omani Rial,0.384909,1.0
Pakistani Rupee,279.015201,1.0
Philippine Peso,60.208401,1.0
Polish Zloty,3.698096,1.0
Qatari Riyal,3.640000,1.0
Romanian New Leu,4.406727,1.0
Russian Ruble,80.997430,1.0
Saudi Arabian Riyal,3.750000,1.0
Singapore Dollar,1.281573,1.0
South African Rand,16.991189,1.0
South Korean Won,1505.708070,1.0
Sri Lankan Rupee,314.680835,1.0
Swedish Krona,9.354823,1.0
Swiss Franc,0.791798,1.0
Taiwan New Dollar,31.981967,1.0
Thai Baht,32.796919,1.0
Trinidadian Dollar,6.800891,1.0
Turkish Lira,44.368379,1.0
