variable_nombre,variable_valor,status
Coordinador Eléctrico realiza llamado a licitación para expandir el sistema de transmisión,302026,1.0
"Coordinador Eléctrico realiza Jornada Técnica con foco en seguridad de abastecimiento, operación del sistema y desafíos de la transición energética",252026,1.0
Coordinador Eléctrico realiza llamado a licitación de obras nuevas necesarias y urgentes en la región del Ñuble,192026,1.0
Ministra de Energía visitó el Centro de Despacho y Control del Coordinador Eléctrico Nacional,162026,1.0
Coordinador Eléctrico informa mantenimiento de línea 2×500 kV Nueva Pan de Azúcar–Polpaico,132026,1.0
Coordinador Eléctrico Nacional designa nuevo director ejecutivo,22026,1.0
Coordinador Eléctrico Nacional renueva experiencia de navegación de su portal web,232026,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
,,1.0
