Commodity,Monthly Avg,1 Month Change,12 Month Change,Year to Date Change
Indice de precios de materias primas agrícolas,8129,"0,31 %","1,27 %","-1,37 %"
Indice de precios de alimentos,10675,"-1,43 %","-7,26 %","-6,69 %"
Indice de precios de alimentos y bebidas,13301,"-2,49 %","-2,53 %","-8,88 %"
Indice de precios de bebidas,20795,"-8,23 %","10,70 %","-12,93 %"
Indice de precios de combustibles (energía),9219,"9,69 %","-11,16 %","-10,95 %"
Indice de precios de insumos industriales,15916,"0,71 %","-2,90 %","0,07 %"
Indice de precios del petróleo crudo,16312,"8,48 %","-18,67 %","-15,60 %"
Indice de precios de metales,10866,"1,73 %","-1,77 %","2,52 %"
Indice de precios de no-combustibles,11293,"-1,05 %","-1,07 %","-3,68 %"
Indice General de Precios de Mercancías,16579,"3,28 %","-0,57 %","-4,05 %"
Carbón australiano térmico,10903,"4,42 %","-19,30 %","-8,07 %"
Carbón sudafricano,9378,"-0,58 %","-10,94 %","-9,20 %"
Diesel,228,"9,56 %","-5,98 %","-8,17 %"
Fueloil,217,"9,58 %","-7,53 %","-9,68 %"
Gas natural,302,"-3,21 %","20,32 %","-26,34 %"
Gas natural licuado de Indonesia,1226,"-0,49 %","1,07 %","-7,05 %"
Gas natural ruso,1237,"6,09 %","13,80 %","-15,62 %"
Gasolina,210,"6,82 %","-14,12 %","-2,46 %"
Gasolina de aviación,209,"8,61 %","-12,53 %","-10,78 %"
Gasolina reformulada,229,"-6,61 %","-5,84 %","3,72 %"
Petróleo crudo,6915,"10,20 %","-14,85 %","-11,53 %"
Petróleo crudo Brent,7145,"11,28 %","-13,46 %","-9,80 %"
Petróleo crudo Dubai Fateh,6850,"8,71 %","-16,64 %","-14,52 %"
Petróleo crudo oeste de Texas intermedio,6749,"10,58 %","-14,45 %","-10,18 %"
Propano,076,"1,34 %","-0,79 %","-16,09 %"
"Café, arábica suave",801,"-8,67 %","46,17 %","2,56 %"
"Café, robusta",433,"-17,37 %","-3,78 %","-19,96 %"
Cacao en grano,840,"-6,56 %","1,57 %","-21,86 %"
Té,200,"4,71 %","-6,54 %","-10,71 %"
Arroz,41900,"-2,78 %","-33,70 %","-12,34 %"
Cebada,,,,
Maíz,19607,"-3,83 %","1,85 %","-8,57 %"
Sorgo,,,,
Trigo,24005,"1,29 %","-9,60 %","-5,53 %"
Trigo Canadiense,,,,
Trigo Soft Red Winter E.E.U.U.,21731,"-1,79 %","-5,77 %","-5,76 %"
Naranjas,136,"-1,45 %","-39,82 %","-47,08 %"
Plátanos,092,"-15,60 %","-15,60 %","-17,12 %"
Carne,667,"0,76 %","14,02 %","3,25 %"
Cerdo,10056,"15,10 %","13,41 %","25,40 %"
Cordero,640,"5,26 %","27,49 %","9,78 %"
Aves de corral (pollo),178,"0,00 %","27,14 %","15,58 %"
Camarón,,,,
Pescado (salmón),748,"0,13 %","-13,73 %","-22,25 %"
Azúcar,037,"-5,13 %","-13,95 %","-7,50 %"
"Azúcar, precio de importación americano",078,"-3,70 %","-6,02 %","-2,50 %"
"Azúcar, precio de importación europeo",038,"2,70 %","8,57 %","11,76 %"
Aceite de coco,"2.766,00","-0,03 %","97,87 %","39,81 %"
Aceite de colza,"1.270,02","2,33 %","15,55 %","10,52 %"
Aceite de girasol,"1.182,50","-2,11 %","13,37 %","-2,03 %"
Aceite de maní,"1.694,32","0,44 %","-6,37 %","2,02 %"
"Aceite de oliva, extra virgen","5.075,41","0,87 %","-44,58 %","-6,85 %"
Aceite de palma,93539,"3,06 %","7,06 %","-12,61 %"
Aceite de palmiste,"1.859,78","-7,14 %","60,95 %","-5,19 %"
Aceite de soja,"1.166,72","0,32 %","15,44 %","11,37 %"
Harina de pescado,"1.688,19","1,48 %","-2,42 %","6,79 %"
Harina de soja,35313,"-1,36 %","-26,54 %","-4,04 %"
Maní,"1.155,62","-2,79 %","-36,24 %","-21,99 %"
Soja,41566,"0,37 %","-13,35 %","1,18 %"
Algodón,173,"0,58 %","-5,46 %","0,58 %"
Copra,,,,
Cueros,5994,"2,92 %","2,32 %","5,12 %"
Goma,216,"-1,37 %","-4,42 %","-8,86 %"
Lana Fina,98666,"0,21 %","4,53 %","7,76 %"
Lana gruesa,93961,"0,09 %","3,84 %","6,31 %"
Madera Contrachapada,37776,"0,11 %","9,17 %","8,27 %"
Madera dura,20595,"0,11 %","9,16 %","8,28 %"
Madera dura aserrada,73864,"1,41 %","6,62 %","9,72 %"
Madera suave,22222,"0,00 %","12,46 %","5,57 %"
Madera suave aserrada,32509,"0,00 %","5,73 %","3,51 %"
Pulpa de celulosa,,,,
Acero laminado en caliente,,,,
Acero laminado en frío,,,,
Alambre de acero,,,,
Aluminio,"2.525,96","3,15 %","1,14 %","-1,84 %"
Barras de acero,,,,
"Cobre, cátodos grado A","9.835,07","3,17 %","1,94 %","9,38 %"
Estaño,"32.544,03","1,76 %","1,60 %","9,90 %"
Mineral de hierro,9233,"-4,78 %","-14,07 %","-7,28 %"
Níquel,"15.003,11","-2,23 %","-14,26 %","-2,54 %"
Oro,"3.352,66","1,30 %","44,11 %","23,73 %"
Plata,3601,"9,92 %",,018414995067412
Plomo,"1.973,86","0,82 %","-8,07 %","2,73 %"
Uranio,5958,"3,96 %","-13,89 %","1,05 %"
Zinc,"2.654,65","0,39 %","-5,50 %","-5,83 %"
Cloruro de potasio,36313,"0,17 %","17,14 %","20,24 %"
Fosfato diamónico (DAP),71538,"6,90 %","31,75 %","22,77 %"
Fosforita,15250,"0,00 %","0,00 %","0,00 %"
Superfosfato triple,64125,"18,42 %","35,36 %","34,15 %"
Urea,42050,"7,27 %","25,06 %","10,51 %"
